,Link,Total Values,Total Weights,Time
0,/content/kplib/00Uncorrelated/n00050/R10000/s052.kp,198132,130838,0.000146151
0,/content/kplib/00Uncorrelated/n00100/R10000/s005.kp,421993,284297,0.000253201
0,/content/kplib/00Uncorrelated/n00200/R10000/s062.kp,809572,469727,0.000585318
0,/content/kplib/00Uncorrelated/n00500/R10000/s023.kp,2054903,1202983,0.001408339
0,/content/kplib/00Uncorrelated/n01000/R10000/s062.kp,4035646,2499682,0.008171558
0,/content/kplib/01WeaklyCorrelated/n00050/R10000/s078.kp,132456,120370,0.000152588
0,/content/kplib/01WeaklyCorrelated/n00100/R10000/s076.kp,265826,242419,0.001381874
0,/content/kplib/01WeaklyCorrelated/n00200/R10000/s088.kp,549877,495635,0.000337839
0,/content/kplib/01WeaklyCorrelated/n00500/R10000/s074.kp,1428808,1296671,0.00124979
0,/content/kplib/01WeaklyCorrelated/n01000/R10000/s000.kp,2727089,2457528,0.005379915
0,/content/kplib/02StronglyCorrelated/n00050/R10000/s035.kp,163632,129632,0.37183857
0,/content/kplib/02StronglyCorrelated/n00100/R10000/s037.kp,312092,242092,0.000214815
0,/content/kplib/02StronglyCorrelated/n00200/R10000/s043.kp,641854,502854,30.00433564
0,/content/kplib/02StronglyCorrelated/n00500/R10000/s031.kp,1578724,1225724,30.0047431
0,/content/kplib/02StronglyCorrelated/n01000/R10000/s098.kp,3142328,2436328,30.00706649
0,/content/kplib/03InverseStronglyCorrelated/n00050/R10000/s019.kp,123709,139709,0.000159025
0,/content/kplib/03InverseStronglyCorrelated/n00100/R10000/s095.kp,266692,299692,0.000582933
0,/content/kplib/03InverseStronglyCorrelated/n00200/R10000/s044.kp,507336,569336,30.02908325
0,/content/kplib/03InverseStronglyCorrelated/n00500/R10000/s085.kp,1296891,1452891,30.00291848
0,/content/kplib/03InverseStronglyCorrelated/n01000/R10000/s075.kp,2667789,2983789,30.0039165
0,/content/kplib/04AlmostStronglyCorrelated/n00050/R10000/s067.kp,152734,116584,0.011398792
0,/content/kplib/04AlmostStronglyCorrelated/n00100/R10000/s080.kp,311951,239821,0.003376245
0,/content/kplib/04AlmostStronglyCorrelated/n00200/R10000/s073.kp,613932,472958,0.000543833
0,/content/kplib/04AlmostStronglyCorrelated/n00500/R10000/s086.kp,1590116,1239021,0.038886547
0,/content/kplib/04AlmostStronglyCorrelated/n01000/R10000/s057.kp,3170174,2465955,30.01137877
0,/content/kplib/05SubsetSum/n00050/R10000/s029.kp,120877,120877,0.006398439
